nama_pintu_air,lokasi,latitude,longitude,tinggi_normal,tinggi_siaga_3,tinggi_siaga_2,tanggal,tinggi_air,status_siaga
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,12/31/2019 23:00,900,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,12/31/2019 23:00,900,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,12/31/2019 23:00,900,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,12/31/2019 23:40,480,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,12/31/2019 23:40,1720,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,12/31/2019 23:40,6320,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,12/31/2019 23:40,3290,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,12/31/2019 23:40,1850,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,12/31/2019 23:40,1600,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,12/31/2019 23:40,1700,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 0:00,1640,Siaga 2
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 0:10,470,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 0:10,1670,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 0:10,6390,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 0:10,3240,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 0:10,2060,Normal
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 0:10,1800,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 0:40,450,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 0:40,1630,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 0:40,6590,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 0:40,3230,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 0:40,2110,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 0:40,1700,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 0:40,1780,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 1:00,2000,Siaga 3
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 1:00,2000,Siaga 3
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 1:00,2000,Siaga 3
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 1:10,400,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 1:10,440,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 1:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 1:10,6800,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 1:10,3290,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 1:10,2150,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 1:10,1750,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 1:10,1810,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 1:40,380,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 1:40,430,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 1:40,1570,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 1:40,7060,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 1:40,3460,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 1:40,2210,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 1:40,1800,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 1:40,1930,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 2:00,1000,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 2:00,1000,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 2:00,1000,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 2:10,380,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 2:10,420,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 2:10,1590,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 2:10,7350,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 2:10,3800,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 2:10,1870,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 2:10,1920,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 2:10,1970,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 2:40,380,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 2:40,420,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 2:40,1600,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 2:40,7960,Siaga 3
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 2:40,4680,Siaga 3
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 2:40,2110,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 2:40,2050,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 2:40,2020,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 3:10,370,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 3:10,410,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 3:10,1610,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 3:10,8450,Siaga 3
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 3:10,5220,Siaga 3
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 3:10,2380,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 3:10,2230,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 3:10,2030,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 3:40,390,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 3:40,400,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 3:40,1550,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 3:40,8700,Siaga 2
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 3:40,5710,Siaga 2
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 3:40,2640,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 3:40,2440,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 3:40,2130,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 4:10,370,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 4:10,400,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 4:10,1540,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 4:10,8890,Siaga 2
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 4:10,6020,Siaga 1
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 4:10,2800,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 4:10,2620,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 4:10,2230,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 4:40,380,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 4:40,390,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 4:40,1510,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 4:40,9080,Siaga 2
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 4:40,6380,Siaga 1
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 4:40,2860,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 4:40,2660,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 4:40,2230,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 5:10,370,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 5:10,390,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 5:10,1530,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 5:10,9270,Siaga 2
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 5:10,6800,Siaga 1
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 5:10,2880,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 5:10,2670,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 5:10,2190,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 5:40,370,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 5:40,390,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 5:40,1770,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 5:40,9250,Siaga 2
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 5:40,6990,Siaga 1
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 5:40,2900,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 5:40,2650,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 5:40,2210,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 5:50,350,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 5:50,350,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 5:50,350,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 5:50,350,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 5:50,350,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 6:10,400,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 6:10,2020,Siaga 3
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 6:10,9340,Siaga 2
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 6:10,7150,Siaga 1
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 6:10,2930,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 6:10,2690,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 6:10,2180,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 6:20,7170,Siaga 1
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 6:40,450,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 6:40,2040,Siaga 3
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 6:40,9300,Siaga 2
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 6:40,2940,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 6:40,2700,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 6:40,2210,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 7:10,770,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 7:10,2070,Siaga 3
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 7:10,9310,Siaga 2
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 7:10,7290,Siaga 1
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 7:10,2950,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 7:10,2710,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 7:10,2210,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 7:30,7340,Siaga 1
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 7:40,1260,Siaga 3
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 7:40,2120,Siaga 3
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 7:40,9310,Siaga 2
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 7:40,2960,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 7:40,2730,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 7:40,2310,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 7:50,1300,Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 7:50,1300,Siaga 3
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 8:00,3200,Siaga 1
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 8:00,3200,Siaga 1
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 8:00,3200,Siaga 1
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 8:10,2340,Siaga 3
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 8:10,9340,Siaga 2
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 8:10,7330,Siaga 1
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 8:10,2970,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 8:10,2770,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 8:10,2310,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 8:30,7340,Siaga 1
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 8:40,1470,Siaga 3
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 8:40,2500,Siaga 3
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 8:40,9330,Siaga 2
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 8:40,3000,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 8:40,2780,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 8:40,2350,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 9:10,1440,Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 9:10,1410,Siaga 3
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 9:10,2870,Siaga 2
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 9:10,9270,Siaga 2
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 9:10,7260,Siaga 1
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 9:10,2970,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 9:10,2780,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 9:10,2370,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 9:40,1590,Siaga 2
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 9:40,1400,Siaga 3
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 9:40,2890,Siaga 2
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 9:40,9190,Siaga 2
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 9:40,7220,Siaga 1
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 9:40,3030,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 9:40,2790,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 9:40,2320,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 10:00,1360,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 10:00,1390,Siaga 3
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 10:00,3400,Siaga 1
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 10:00,3400,Siaga 1
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 10:00,3400,Siaga 1
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 10:10,3130,Siaga 2
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 10:10,9110,Siaga 2
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 10:10,7190,Siaga 1
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 10:10,3020,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 10:10,2790,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 10:10,2350,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 10:10,7190,Siaga 1
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 10:10,7190,Siaga 1
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 10:10,7190,Siaga 1
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 10:10,7190,Siaga 1
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 10:10,7190,Siaga 1
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 10:40,1130,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 10:40,1300,Siaga 3
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 10:40,3840,Siaga 1
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 10:40,9070,Siaga 2
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 10:40,3020,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 10:40,2790,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 10:40,2340,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 10:40,1300,Siaga 3
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 11:10,980,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 11:10,4100,Siaga 1
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 11:10,9010,Siaga 2
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 11:10,3020,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 11:10,2770,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 11:10,2340,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 11:30,1160,Siaga 3
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 11:40,960,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 11:40,4290,Siaga 1
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 11:40,8910,Siaga 2
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 11:40,3020,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 11:40,2740,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 11:40,2340,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 12:00,3400,Siaga 1
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 12:00,3400,Siaga 1
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 12:00,3400,Siaga 1
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 12:10,800,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 12:10,1080,Siaga 3
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 12:10,3970,Siaga 1
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 12:10,8870,Siaga 2
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 12:10,3000,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 12:10,2720,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 12:10,2310,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 12:40,730,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 12:40,1040,Siaga 3
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 12:40,4160,Siaga 1
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 12:40,8830,Siaga 2
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 12:40,2900,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 12:40,2710,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 12:40,2310,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 13:00,6600,Siaga 1
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 13:00,6600,Siaga 1
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 13:00,3400,Siaga 1
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 13:00,6600,Siaga 1
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 13:00,3400,Siaga 1
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 13:00,6600,Siaga 1
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 13:00,3400,Siaga 1
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 13:10,650,Normal
